country_name,channel_name,fiscal_year,constant_amount
World,"Global Fund to Fight AIDS, Tuberculosis and Malaria",2012,1561503273
Israel,U.S. Government - Department of Defense,1985,2835155934
Iraq,Bechtel Corporation,2004,1817109001
World,U.S. Government - Other,1998,1995047508
World,International Development Association,2014,1439651509
World,International Development Association,2014,1439651509
World,International Development Association,2013,1463249145
World,International Development Association,2013,1463249145
Poland,U.S. Government - Department of Defense,2003,1786321939
World,International Development Association,2012,1461504522
World,International Development Association,2012,1461504522
World,U.S. Government - Other,1997,1954795027
France,U.S. Government - Other,1952,10249377916
Egypt,U.S. Government - Department of Defense,2010,1490312966
Egypt,U.S. Government - Department of Defense,2009,1503063938
Egypt,U.S. Government - Department of Defense,1991,2183772888
Egypt,U.S. Government - Department of Defense,1998,1900306973
Egypt,U.S. Government - Department of Defense,1989,2344454463
Egypt,U.S. Government - Department of Defense,2007,1551868211
Egypt,U.S. Government - Department of Defense,2007,1551868211
Egypt,U.S. Government - Department of Defense,2012,1433928965
Egypt,U.S. Government - Department of Defense,1999,1876172608
Egypt,U.S. Government - Department of Defense,1992,2130449033
Egypt,U.S. Government - Department of Defense,2000,1838235294
Egypt,U.S. Government - Department of Defense,1995,1994782876
Egypt,U.S. Government - Department of Defense,2015,1364686122
Egypt,U.S. Government - Department of Defense,2015,1364686122
Egypt,U.S. Government - Department of Defense,1987,2518403719
Egypt,U.S. Government - Department of Defense,1994,2037298229
Egypt,U.S. Government - Department of Defense,2002,1767745445
Egypt,U.S. Government - Department of Defense,2002,1767745445
Egypt,U.S. Government - Department of Defense,1993,2081665332
Egypt,U.S. Government - Department of Defense,2012,1433928965
Egypt,U.S. Government - Department of Defense,1997,1923930738
Egypt,U.S. Government - Department of Defense,1988,2439482079
Egypt,U.S. Government - Department of Defense,2009,1503063938
Egypt,U.S. Government - Department of Defense,1996,1958126224
Egypt,U.S. Government - Department of Defense,2010,1490312966
Egypt,U.S. Government - Department of Defense,2011,1458080468
Egypt,U.S. Government - Department of Defense,2011,1458080468
Egypt,U.S. Government - Department of Defense,2001,1792124896
Egypt,U.S. Government - Department of Defense,2001,1792124896
Egypt,U.S. Government - Department of Defense,1990,2251931106
Egypt,U.S. Government - Department of Defense,2004,1685354721
Egypt,U.S. Government - Department of Defense,2004,1685354721
Egypt,U.S. Government - Department of Defense,2003,1724596074
Egypt,U.S. Government - Department of Defense,2003,1724596074
World,United Nations Office of the United Nations High Commissioner for Refugees,2018,1291226588
United Kingdom,U.S. Government - Other,1949,10857863751
Egypt,U.S. Government - Department of Defense,2005,1631991901
Egypt,U.S. Government - Department of Defense,2005,1631991901
Egypt,U.S. Government - Department of Defense,2008,1508152047
Egypt,U.S. Government - Department of Defense,2008,1508152047
World,International Development Association,2015,1351879068
World,International Development Association,2015,1351879068
Egypt,U.S. Government - Department of Defense,2006,1578172900
Egypt,U.S. Government - Department of Defense,2006,1578172900
Iraq,U.S. Government - Department of Defense,2011,1438738903
World,U.S. Government - Other,1989,2294770063
World,International Development Association,2010,1447323169
World,International Development Association,2010,1447323169
World,U.S. Government - Other,1984,2640648671
World,U.S. Government - Other,1979,3634787634
Middle East Region,U.S. Government - Department of Defense,2018,1258000000
World,U.S. Government - Other,1988,2344282229
World,"Global Fund to Fight AIDS, Tuberculosis and Malaria",2013,1349057028
Egypt,U.S. Government - Department of Defense,1986,2464052288
Vietnam (former South),U.S. Government - Other,1969,6781830601
Egypt,U.S. Government - Department of Defense,2013,1336791186
Egypt,U.S. Government - Department of Defense,2013,1336791186
World,International Development Association,2011,1385176444
World,International Development Association,2011,1385176444
World,International Development Association,2009,1398115967
World,International Development Association,2009,1398115967
Israel,U.S. Government - Other,1997,1775936066
Israel,U.S. Government - Other,1994,1880582981
Israel,U.S. Government - Other,1987,2324680356
Israel,U.S. Government - Other,1989,2164111812
Israel,U.S. Government - Other,1996,1807501130
Israel,U.S. Government - Other,1998,1754129513
Israel,U.S. Government - Other,1995,1841338039
Israel,U.S. Government - Other,1987,2324680356
Israel,U.S. Government - Other,1988,2251829612
Israel,U.S. Government - Other,1988,2251829612
Israel,U.S. Government - Other,1996,1807501130
Israel,U.S. Government - Other,1992,1966568338
Israel,U.S. Government - Other,1994,1880582981
Israel,U.S. Government - Other,1997,1775936066
Israel,U.S. Government - Other,1992,1966568338
Israel,U.S. Government - Other,1995,1841338039
Israel,U.S. Government - Other,1989,2164111812
Israel,U.S. Government - Other,1998,1754129513
Israel,U.S. Government - Other,1993,1921537230
Israel,U.S. Government - Other,1993,1921537230
World,International Development Association,2016,1245192428
World,International Development Association,2016,1245192428
Israel,U.S. Government - Other,1990,2078705637
Israel,U.S. Government - Other,1990,2078705637
Egypt,U.S. Government - Department of Defense,1985,2379505873
World,U.S. Government - Other,1995,1802976830
World,U.S. Government - Other,1986,2297284611
France,U.S. Government - Other,1949,9598822540
France,U.S. Government - Other,1951,9231634304
Iraq,Enterprise - United States Other,2004,1451486698
Iraq,U.S. Government - Department of Defense,2012,1225303083
World,U.S. Government - Other,1987,2144122433
Egypt,U.S. Government - Department of Defense,2016,1149365509
Egypt,U.S. Government - Department of Defense,2016,1149365509
World,U.S. Government - Other,1982,2496145668
World,International Development Association,2007,1309836457
World,International Development Association,2007,1309836457
World,International Development Association,2018,1097010000
World,International Development Association,2018,1097010000
World,International Development Association,2019,1075183769
World,International Development Association,2019,1075183769
World,U.S. Government - Other,1983,2364278283
Israel,U.S. Government - U.S. Agency for International Development,1999,1558666474
Iraq,U.S. Government - Department of Defense,2005,1360415085
World,U.S. Government - Other,1980,2848790858
Egypt,U.S. Government - Other,1986,2117688651
Egypt,U.S. Government - Other,1986,2117688651
Egypt,U.S. Government - Other,1985,2156844876
Egypt,U.S. Government - Other,1985,2156844876
World,U.S. Government - Other,1991,1787586091
Iraq,U.S. Government - Department of Defense,2012,1169203618
Middle East Region,U.S. Government - Department of Defense,2018,1055000000
World,U.S. Government - Other,1992,1711458538
World,U.S. Government - Other,1998,1512211665
Iraq,U.S. Government - Department of Defense,2016,1074474724
World,U.S. Government - Other,1994,1605284438
World,U.S. Government - Other,1993,1640243395
World,U.S. Government - Other,1981,2440050811
Iraq,Enterprise - United States Other,2004,1314553991
Iraq,U.S. Government - Department of Defense,2010,1150980167
Iraq,U.S. Government - Department of Defense,2016,1044310381
Egypt,U.S. Government - Department of Defense,2018,1000000000
Egypt,U.S. Government - Department of Defense,2018,1000000000
World,U.S. Government - Other,1978,3113627849
Iraq,Bechtel Corporation,2003,1328927572
World,U.S. Government - Other,1989,1794409378
Egypt,U.S. Government - Other,1995,1497353077
Egypt,U.S. Government - Other,1995,1497294768
Colombia,U.S. Government - Department of State,2006,1186988508
Iraq,U.S. Government - Department of Defense,2015,1015116523
Iraq,U.S. Government - Department of Defense,2011,1081141830
World,U.S. Government - Other,1990,1671626653
Vietnam (former South),U.S. Government - Other,1968,5457880000
Israel,U.S. Government - Department of Defense,1983,2058951019
Israel,U.S. Government - U.S. Agency for International Development,2000,1341990950
World,U.S. Government - Other,1984,1977401130
World,U.S. Government - Other,1983,2048114434
United Kingdom,U.S. Government - Other,1950,8040068201
World,"Global Fund to Fight AIDS, Tuberculosis and Malaria",2018,925000000
World,"Global Fund to Fight AIDS, Tuberculosis and Malaria",2018,925000000
World,U.S. Government - Other,1988,1717020079
Israel,U.S. Government - Other,1984,1904164051
Israel,U.S. Government - Other,1984,1904164051
Russia,U.S. Government - Other,1994,1413646764
Egypt,U.S. Government - Other,1990,1566645790
Israel,U.S. Government - Department of Defense,1981,2177594967
Egypt,U.S. Government - Department of Defense,1983,1950585176
Egypt,U.S. Government - Department of Defense,1984,1883239171
World,U.S. Government - Other,1985,1822600243
Egypt,U.S. Government - Other,1990,1562959290
World,U.S. Government - Other,1980,2380637789
Egypt,U.S. Government - Other,1992,1463225172
Egypt,U.S. Government - Other,1992,1463212062
World,U.S. Government - Other,1979,2571300202
Egypt,U.S. Government - Other,1980,2298697847
Afghanistan,U.S. Government - Department of State,2010,986754284
Egypt,U.S. Government - U.S. Agency for International Development,1999,1240970652
Egypt,U.S. Government - Other,1984,1784785520
Egypt,U.S. Government - Other,1984,1784785520
Israel,U.S. Government - Department of Defense,1976,3036798857
Israel,U.S. Government - Department of Defense,1982,1922641936
Israel,U.S. Government - Department of Defense,1984,1778614773
Israel,U.S. Government - Department of Defense,1984,1778614773
Israel,U.S. Government - Department of Defense,1976,3036798857
World,"Global Fund to Fight AIDS, Tuberculosis and Malaria",2019,832455086
World,"Global Fund to Fight AIDS, Tuberculosis and Malaria",2019,832455086
World,International Development Association,2008,991900000
World,International Development Association,2008,991900000
World,International Development Association,2005,1067071627
World,International Development Association,2005,1067071627
Colombia,U.S. Government - Department of State,2000,1185661765
Israel,Government of Israel,2001,1157988395
Israel,Government of Israel,2001,1157988395
Egypt,U.S. Government - Other,1979,2412597515
Egypt,U.S. Government - Other,1981,2005806920
Egypt,U.S. Government - Other,1998,1209109779
Egypt,U.S. Government - Other,1998,1209109779
Egypt,U.S. Government - Other,1987,1587869043
Egypt,U.S. Government - Other,1987,1587869043
Iraq,U.S. Government - Department of Defense,2015,859752257
Egypt,U.S. Government - Other,1996,1230369031
Egypt,U.S. Government - Other,1996,1230369031
Egypt,U.S. Government - Other,1989,1472495942
Egypt,U.S. Government - Other,1989,1469792606
Egypt,U.S. Government - Other,1997,1195934586
Egypt,U.S. Government - Other,1997,1195934586
Israel,U.S. Government - Other,1982,1823116942
Israel,U.S. Government - Other,1982,1823116942
Israel,U.S. Government - Other,1979,2311470673
World,U.S. Government - Other,1978,2497658445
World,International Development Association,1999,1154567759
World,International Development Association,2002,1077508485
World,International Development Association,2002,1077508485
Israel,U.S. Government - Other,1980,2086101515
Israel,U.S. Government - Other,1979,2268130598
Israel,U.S. Government - Other,1978,2450827349
Israel,U.S. Government - Other,1983,1701343736
Israel,U.S. Government - Other,1983,1701343736
Egypt,U.S. Government - Other,1991,1314943726
Egypt,U.S. Government - Other,1991,1311639509
World,International Development Association,2001,1068382150
World,International Development Association,2001,1068382150
World,International Development Association,2000,1090624762
Egypt,U.S. Government - Other,1982,1743949333
Egypt,U.S. Government - Other,1982,1743949333
Iraq,Bechtel Corporation,2005,975350359
Israel,U.S. Government - Other,1981,1848536172
Israel,U.S. Government - Other,1981,1848536172
Egypt,U.S. Government - Other,1981,1836438422
Vietnam (former South),U.S. Government - Other,1974,3182672850
World,International Development Association,2006,922624157
World,International Development Association,2006,922624157
Egypt,U.S. Government - Other,1978,2343896347
Israel,U.S. Government - Department of Defense,1983,1625487646
Egypt,U.S. Government - Other,1983,1625487646
Egypt,U.S. Government - Other,1983,1625487646
Egypt,U.S. Government - Other,1993,1197522818
Egypt,U.S. Government - Other,1993,1197482786
Jordan,Government of Jordan,2019,730275409
Jordan,Government of Jordan,2019,730275409
Jordan,Government of Jordan,2020,715685333
Jordan,Government of Jordan,2020,715685333
World,U.S. Government - Other,1986,1468954248
Egypt,U.S. Government - U.S. Agency for International Development,2000,1047402432
Israel,U.S. Government - Other,1977,2449183605
Iraq,U.S. Government - Department of Defense,2017,747854516
Iraq,Enterprise - United States Other,2004,950704225
World,U.S. Government - Other,1977,2426194602
Egypt,U.S. Government - Other,1988,1347006943
Egypt,U.S. Government - Other,1988,1347006943
World,"Global Fund to Fight AIDS, Tuberculosis and Malaria",2009,821020974
World,"Global Fund to Fight AIDS, Tuberculosis and Malaria",2009,821020974
World,Partnership for Supply Chain Management,2015,739509086
Asia Region,U.S. Government - Other,1954,5308679245
Asia Region,U.S. Government - Other,1954,5297358491
World,U.S. Government - Other,1982,1583578376
Israel,U.S. Government - Other,1976,2500893176
Jordan,Government of Jordan,2003,934704233
Jordan,Government of Jordan,2003,934704233
Egypt,U.S. Government - Department of Defense,1982,1583352183
World,U.S. Government - Other,1996,1054375659
World,U.S. Government - Other,1997,1035962705
Egypt,U.S. Government - Other,1977,2330056648
